..##.####. ....#.#### #.##.##.#. .##.###..# ####..##.# #....##### ##.###.##. .#.###.### ######.### #.###..... .#.#.##... ..###.#...
.#...#..## #...#.#..# ###.#..#.. .##..#.... ........## #.#....... ..#.#.##.. .......... .......#.. .........# ##....#..# ##........
..#.#...## #.#......# #....#.#.# ##.#..#..# #...###... ..####.##. .#..#####. ..#.....## #.###..#.# #.....#..# #....##..# #.#.....#.
.......#.. .#..#..... ........#. ...#.....# #..#..##.. .#.##..#.# #.#..#...# #....#...# #..#....#. .....#.... .........# #...##..##
.#...#...# ##..#..##. ..###..### #....#..#. ...#..#... ..#.#....# #......### #..#..#..# #......... .....#.... .#.....#.# #.......#.
#.#......# #....#.##. .......#.. ......###. .#........ ..#....... .......... .....#...# ###.##...# ###....#.# #...#..... .........#
#.#.#.#.## #...#.#..# #.#####..# ###...#### ##.#....## #...#..##. .#..##.... .###..#.#. .###.....# #........# #...#..#.# #....##...
...#...### #.#..##.## ###...#..# ###..##### ####...### #.##....## ##.#.##..# ###.##..#. ..#..##... .##...#... ....##.#.# #...##....

...#...### #.#..##.## ###...#..# ###..##### ####...### #.##....## ##.#.##..# ###.##..#. ..#..##... .##...#... ....##.#.# #...##....
...#....#. .#.#...### #.######## #..#..#..# #......#.# #.##.##.## #..##.#... .#..#.##.# #.....###. .......... .##....#.. .#...#...#
###......# #.#...#..# #...#...#. .#....##.. ....#..#.# #.#.##.... .##.....## #.....#..# #......#.. ....##.#.# #.##.#..#. .##...#..#
.......... ...#..##.# #.....#..# ####.#.... ....#.##.# #...###... ......##.# #......... ........#. ...#.##.## ###.#..#.. .....#....
#...#..... ..#....... .....#...# #.##.....# #..#..#..# #..#...#.# ###...#.## ##.....##. ....#...#. .#..#..... .##....#.# #....##...
...#....## ###...##.# ######.#.# #.###....# #.#...#... ..###...#. .###...### ##.###...# #......... ......##.# #......... .....#...#
.....#.... ..#..#..## #..#..#... .###.#...# #..#.##### #.#.###.## #..#..#..# #......#.# #.#..#..## #..#.#.#.. ..##...#.# #..#......
.##......# #.#....... .......... ....#..... .#..#....# #......... ..##..#.## #.......#. .....#.... ...#...##. ......#.## #....#....
#.....#..# ###.#..... ..#.##.##. ........#. ..##.#.... .#...#..## #.####..## ###.....## #.#.##.... .......... ........## #.#..#####
.###.....# ##.#..###. ....#....# ##..#....# ##...#.... .#...####. .####.###. ..#.####.# #.#....#.. ..####.#.. .#.#..#... ...#.##...

.###.....# ##.#..###. ....#....# ##..#....# ##...#.... .#...####. .####.###. ..#.####.# #.#....#.. ..####.#.. .#.#..#... ...#.##...
###....##. ..#....... .......#.. .........# ##....#..# #......... .#.##...#. ......#.## #..#.#...# #..#...... .##...##.. ...#.....#
......##.# #......#.. .....#...# #..#....#. ........#. ...#.....# #....#...# #..#.....# #..#....#. .#.#..###. .#####.#.. ..###.#..#
........## #.....#... ...##...#. .#####.##. .#.#..#..# #.#.##.#.# ##....##.# #.#.###..# #.###.#... .###.#..## #.###.#..# ##.##....#
#......... ...###.### #.##.#..## #.##.##.## #.......#. .....##..# #.#.###.## ##.#..#... .#.#..#... ..#...#... ..#..#...# #..###....
#.#....... ....#.#... ...##....# #......#.. ......#.#. .......#.# #...#..#.# #.......## #...#..#.# ###....... .##......# #..#..#..#
##....#.#. ..#.#...## ##..##..#. ....#.##.. .#..##.#.# ##..#....# #........# #........# #.###.###. ......#.## ##........ ...##.....
.......#.# ##..#....# #......... ..#...#... .#.....#.# #.#.....## ##.......# #...#....# #.##.#...# ##...####. ..#.##.... ..###....#
...#.....# #.#.#.#.## #.#.#.#..# #.#.#....# ###......# #.....##.# ##.##..... ....#....# #.#...#..# ###..##.## ##.#..#.#. .#...#..#.
##.##..... ..#.###.#. ...#.##.#. ....#...#. .#.....### ####.##### #..#.##### #...##.#.. .##.#..### ###..#...# #.....#.#. .##.##..##

##.##..... ..#.###.#. ...#.##.#. ....#...#. .#.....### ####.##### #..#.##### #...##.#.. .##.#..### ###..#...# #.....#.#. .##.##..##
##...#..#. ..#.#..### #..####..# #.####.##. .##...##.. .#.#.#.#.. ...##..... ..#...##.. .#...#.... .#........ ..##..##.# #...##..##
....#..#.# #.......## ##.##.#.## ##..#..##. .#.#...... .....#.... ..###...## ###...###. ...#....## #..####.#. .##..#.#.# #.........
#.#...#... ......#... ....##.#.. .#.......# #.#.#...#. .....##... .#..##.##. ..#..##... ..#.#..... .....#..## ##..#....# #......#.#
#.....#... .......... ...##..#.# #.###....# #...#...#. ..#..#...# #.#.#..##. .#......#. ..#....... .#......#. ....#..... ......#...
....#..### #.#...#... ..#..#.#.. ...#.#.... ..#.....#. .........# #.....##.. .#...##.## #...#..... .#..#...## #....##.## #.#.......
#..#..##.# ##........ ...#..#... ....#..##. ...#.#...# #.....###. ....#....# ##.....#.. ..#......# ##...#.... .......... ....##....
#........# #....#..#. ..##.#..#. .#....###. .#....#..# #..#....## #....##.## #..##....# ####....## #..#..#.## ##....##.# #...###..#
.....##.#. .#....#..# ###.#..### #.#..###.# #...##..#. .#..#...#. .##.#.##.# #.#..#.##. ...#.##..# #..##..#.# #.#..#.### #.##......
....####.# #...#####. ...#.#...# ####.#.##. ..##.#.#.. ..####.#.# #...##..#. ..#..#..## ##.###.### #...#.#### ##...#.#.# ###.#.####

....####.# #...#####. ...#.#...# ####.#.##. ..##.#.#.. ..####.#.# #...##..#. ..#..#..## ##.###.### #...#.#### ##...#.#.# ###.#.####
#......... ..#....... .#.#.##.#. ...#.#...# #.#..#...# ##...##.#. ........## #......#.# #..#...... .....#..#. .......##. .#....##.#
.##....#.# #....#..#. ....##.... .#..#..#.. ..#..#...# #.####.... .....#..## #..#..##.# #..#.#..## #.#.#..#.# #..#...... .#....####
..#...#.#. ......#... ....#.##.# #.##.#.#.# #.#.....## #......##. .......... ..##..#... .....#..#. .#.#.....# #.#.#..... .##......#
#...#....# #..#....## #.......#. ..#.#..#.. ..#.....## #..##.##.# ###...###. .#...##### ##.#..#... .....#.#.. .##..##..# ##.#.##.#.
.##....... .#..#..#.# #.....#..# #..###.... .##.#.###. .#...#..## #..#..##.. .#.##....# #..#.#.### #.#.##...# #.####..#. .##......#
#.......#. .#.#.#..## ##.....#.# #.#..##.#. .#.#.##... .#....##.# ###....... .......##. ........#. ...#..#... .##.##.#.# #.#.##..##
#.#.#....# ###....#.. .......#.. .....#...# #.#..#.##. .#.#.#.#.# #..#..#..# ##.##...## #......... .##.#....# #..#..##.. ....#....#
###....#.. ........#. .#.#....#. ........#. ..###.#... ......#... ..#....##. ...###.... ..#.#..... .#...#.... ..#....... ..#.......
.###.#.#.. ..#..#...# ######.#.# ####.##.## #####.#... .##.##.### #..#.##... .##..###.# #..#.###.. .#..#.#... ...###.#.# #...#.##.#

.###.#.#.. ..#..#...# ######.#.# ####.##.## #####.#... .##.##.### #..#.##... .##..###.# #..#.###.. .#..#.#... ...###.#.# #...#.##.#
..#.....#. .##......# ##..#.#... .....##.#. ........## ##..#..... .....###.# ##........ .......#.# ##..##.... ..#....... ....#..#.#
##.###...# ###....### #....###.# #....##... ......#... ..##..#... .#....#... ..##....#. .#....##.# #...###... ......#.## #........#
.##..##.#. ...#..#.## ##..##...# #.....##.. ..#....... .#.##..... .#.##...## #...#.#### #.#..#..#. .#.#...... .........# #...###.#.
##.##..... .......#.. .#.###..## ##......#. ....#..... ....####.. ...###.#.. ......#... .......... .......#.. ....##..## ###.#...#.
###.##.#.# #.#......# #..#.#.... ...#....## ##.#####.. ...####.#. ..##..#... ....#....# #......... ..##...... ....##.#.. ...#..#...
#.......## #.#....#.# #......#.. ....####.. ..#..#..## #..##..#.. .##.....#. .#.#.....# ##.##....# ##...###.. .#...#.##. .........#
.........# #.#.#..#.. .#.#...#.# #.#...#.## ##........ ..##.#.... ...#.##### #......#.# ##..##.... ..##....#. .##....... .#....##.#
....##.#.# #.##....#. .#....#### ###.....## #....#.##. .........# ##.....#.# #..##.#.## #..#.###.# ###.#..#.# #.....##.# ##.#..#.##
#..###...# ##..#.##.# ##..#..### #####...#. .###.###.# ##.#####.# #.#..###.# #.###.#.#. ..###.#### #.###...## ###.#.#... ...#.#.#..

#..###...# ##..#.##.# ##..#..### #####...#. .###.###.# ##.#####.# #.#..###.# #.###.#.#. ..###.#### #.###...## ###.#.#... ...#.#.#..
#.#...#.#. .#..#..#.. ..#.##.... ...#..###. ...#.#...# #.....#..# #...#..... ..#....##. ....#....# #..#.#.#.. .......... ..##.#....
#....#.#.# #....#.### #..#..#... ..#...#... ......#... ......#..# #..#..#... ....#....# #..#...#.. ......#..# ##...#...# #....#.#.#
#.###.#... ...##..##. .#.###..#. .##...#.## #...#..... .##....##. ..#..###.# ##......## #......... .#.##...## #.#.#...#. ......#...
#......#.# #...#..#.. ......#..# #.....#... ..#..#.### #..#..#..# ##..#.#..# ##.#..#### #......#.. ....#....# #..##..... .##..##...
...#.....# #..###.... .####..### ##...###.# ###...#..# #.#.#..... ......##.. ...##...## #......... ..##.....# #.##..##.. .....#..#.
..##.....# #....##### ##.#.###.. .#..#..... ...#...#.# ##.......# #...#...#. ..#..##.#. .###.##... ...##....# ####..#... .##.......
#.....#.## ###...##.. .........# #.###....# ##.#...... ...#...... ...#..#... ....#..... .####..#.# #.####.##. .........# #..#......
#........# ##........ .#.......# #........# #...#..##. .##...#### #...###.#. ...###.#.# #..##..... ..##.....# #........# #.........
.#........ ..#..####. .....#..#. ...##..##. .#####.... ..#.#..#.. .....##.#. .....###.. .##.####.# ##..##.... .##....### ##..##.#..

.#........ ..#..####. .....#..#. ...##..##. .#####.... ..#.#..#.. .....##.#. .....###.. .##.####.# ##..##.... .##....### ##..##.#..
#.##.....# #...#..... .###.##.#. ..#....#.# #.#.....## #..####... .#..#..#.. .##....##. ....#..... ...#.#.... .#...#..## #.#..#...#
........#. ....#..... ...#.....# #...#...#. .#..#..... .#.##..... ..#.#....# ##........ ..#.#.#... .........# #...#..... ..#....#.#
.#.###...# ##..#..#.# #....#.... .......#.# #...#..#.. .......... .#..#....# #........# #...##.#.# #........# #.#.....#. .#.......#
##.#..#... ....##..#. ...##.##.# #...#..... ...##..#.# #..#.##..# #..#.....# #.#.#....# #.#.....#. .....#.#.# #.#.#..... ..#.......
.#...###.# #.##....#. .#.#..###. ......#... .#..#...## #.....###. ...#..#.## ##.####..# ###....### ##....#..# #...#....# #.#.#...#.
#.#...#..# ##..##.### #.#..#.##. .....#...# #.#....... .#.#.#...# ##.....#.. ..##.#..## #..##.#... ...#.....# #......#.. ..#..#.##.
.#.......# #..###..## #.##.....# #......#.. ..#.#.#.## #....#.... ...##..... .#.#...... ........#. .#...#.... .....#.#.# #..##.....
#......... ....#...#. .....#.... .....#.... .......... .......... .#.##..... ....##...# #.#...##.# #.#....#.. ...##...## ##.......#
##.###.... .#.#####.. .#.#.##.## #..##.##.# #.#.#..##. .#......## #..##.##.. .##.###### ##.##...#. ...##..... ..###.#.## ####....##

##.###.... .#.#####.. .#.#.##.## #..##.##.# #.#.#..##. .#......## #..##.##.. .##.###### ##.##...#. ...##..... ..###.#.## ####....##
.##.....## #.##....#. .##..###.# #.#.###..# #...###..# ##....##.# #.##...... ....##...# #.......## #.#..#...# #..#...##. ..........
#.###....# #####..### #.#..#.##. ...#.#...# #..#...... .....#...# ###.#..... ..##.##.## ##.......# #.#..##... ..#...#.#. ..........
....#....# #...#...## #.#..##.## ##....##.. .#..#...#. ........#. ........#. .....##.#. ..#.##.... ..#.#..... ...###.... .........#
#......##. .........# ##..#.#..# #.#....... .........# ##....#..# #..##...## #...###.#. .#####.... .###.##..# #####..... ...#....#.
..#.###... .........# #.#.#....# #.#......# #.#..####. ...#.##... ...###...# ###.#..### #.#..#..## #..#..##.# #....#.### ##.#.....#
......#..# #...#.#... ..#...##.. .#..##.#.# #.##.##..# ##..#..#.# ###....#.. ..###.##.# #....#.... .#.##..... .#..##..#. ...#.####.
##.#.###.# ##...#.... ..#..#...# #....#.... ....#.#.## #..#..#... ...#.....# #..#.#..#. ....#.#... .#..#...#. .#....#..# #........#
...##..... ...#.#...# #..##.#... .......#.# ##....#... ..#..#..## #........# #...#..... ..#..#..## #...#..... .......... .#......##
#..######. .........# #....#..#. .#....##.# ##.##..#.. ..##.#.### ##.##.###. .#.##....# ##.####..# #..#...... .#.###.... .#...#.##.

#..######. .........# #....#..#. .#....##.# ##.##..#.. ..##.#.### ##.##.###. .#.##....# ##.####..# #..#...... .#.###.... .#...#.##.
#..###.... .######### #..#####.# #..##..... ..#....... ........## ##..#....# #......#.# #..#..#... .#.....#.. ......#..# #.#..##..#
..#..####. ...#..#..# ##..##.... ......#... ...##.#..# ###....### ####...... .#...#.... ..##....## ##...####. ........#. ......#...
....#....# #....##... ..#..#.... ..#....#.. .##.##..## #..#..#... .#...##..# #.....##.# ##..#..#.. ..#..#...# ####.#..#. .....#..#.
.#...#.##. ....#..... ........#. ...#..#..# ##.#..#..# #.....#... .......#.. .####..#.. ..##...... ...#.....# ###...##.# ##...##..#
.#.......# #.......## #....##.## ##..#..#.. .......... ...###.#.. .......#.# #.#......# #....#..#. .#........ .#.#.#...# #...#...#.
#..##.#.#. .....##... .........# #.....#..# #.....#... .......... ..#....##. ........## ###....... .#........ ........#. ....#.#...
......#..# #.#.#...#. ...#...### #....#.#.# #.....#..# #...#..... .#...###.. .....##... ...#..#... .#...#...# #..###.##. ...##.....
.......... ...#.....# #.......#. .......... ..##...#.# ##.......# #.#....... .........# #.##.....# #..#...#.. ..#....#.# ##....##.#
..##..##.# ##.#.####. .##...##.. ..#.#.#.#. .#..#.#.#. .#.#....## ##.#.#.... ..####...# #.##..#... ....#.##.# ###.####.# ###..##...
